@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
2,16,01-10,Android,he,'Samsung ',51+,(direct),(none),Direct,(none),MOBILE_WEB,847.8,17.2,0,1,0,1,1,1,1,1
3,10,01-10,Android,he,'Samsung ',1,(direct),(none),Direct,(none),MOBILE_WEB,597,10,0,0,0,0,0,0,0,1
4,13,21-30,Android,he,'Meizu ',2,(direct),(none),Direct,(none),MOBILE_WEB,566,5,0,0,0,0,0,0,0,1
6,11,31-40,Android,he,'Samsung ',3,Whatsapp,Yad1_share,(Other),Yad1,MOBILE_WEB,97,3,0,0,0,0,0,0,0,1
3,21,31-40,iOS,he,'Apple ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,297,6,0,0,0,0,0,0,0,1
5,21,01-10,Android,he,'LG ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,233,5,0,0,0,0,0,0,0,1
6,13,51-60,Android,he,'Google ',2,(direct),(none),Direct,(none),MOBILE_WEB,226,9,0,0,0,0,0,0,0,1
7,14,01-10,Android,en,'Motorola ',6-10,google,organic,'Organic Search',(none),MOBILE_WEB,1424,11,0,0,0,0,0,0,0,1
6,7,41-50,Android,he,'Samsung ',2,(direct),(none),Direct,(none),MOBILE_WEB,53,2,0,0,0,0,0,0,0,1
1,8,01-10,Android,he,'Samsung ',11-20,google,organic,'Organic Search',(none),MOBILE_WEB,591.4,13,0,1,0,0,1,0,0,1
1,9,51-60,iOS,he,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,91,3,0,0,0,0,0,0,0,1
5,6,41-50,Android,he,'LG ',51+,(direct),(none),Direct,(none),MOBILE_WEB,117,13,0,0,0,0,0,0,0,1
7,5,51-60,Android,he,'Meizu ',1,google,cpc,'Paid Search','Yad2 - Brand E',MOBILE_WEB,950,31,0,1,0,1,1,0,0,1
6,15,21-30,iOS,he,'Apple ',11-20,(direct),(none),Direct,(none),MOBILE_WEB,212,4,0,0,0,0,0,0,0,1
4,21,11-20,iOS,he,'Apple ',3,google,organic,'Organic Search',(none),MOBILE_WEB,811,10.5,0,0,0,0,0,0,0,1
4,6,31-40,iOS,he,'Apple ',1,Whatsapp,Yad1_share,(Other),Yad1,MOBILE_WEB,499,11,0,0,0,0,0,0,0,1
6,16,01-10,Android,he,'Samsung ',1,google,organic,'Organic Search',(none),MOBILE_WEB,154,6,0,0,0,0,0,0,0,1
4,7,31-40,iOS,en,'Apple ',1,(direct),(none),Direct,(none),MOBILE_WEB,158,2,0,0,0,0,0,0,0,1
4,8,21-30,iOS,en,'Apple ',2,(direct),(none),Direct,(none),MOBILE_WEB,160,2.5,0,0,0,0,0,0,0,1
