@relation R_data_frame

@attribute WeekDay string
@attribute Hour string
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceInfo string
@attribute MobileDeviceManuf string
@attribute visitNumber numeric
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
3,11,11-20,Android,ru,'Samsung SM-G920F Galaxy S6','Samsung ',114,51+,google,organic,'Organic Search',(none),MOBILE_WEB,226.428571,3.142857,0,1,0,0,0,0,0,0
6,19,01-10,Android,he,'LG LG-H850 G Flex 2','LG ',259,51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,161,3,0,1,0,1,1,0,0,0
4,11,21-30,Android,en,'Samsung GT-I9195 Galaxy S4 Mini','Samsung ',30,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,230,17,0,1,0,0,0,0,0,0
1,19,31-40,Android,he,'LG H815 G4','LG ',11,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,3013,42,0,1,0,1,0,0,0,0
3,14,01-10,iOS,en,'Apple iPhone','Apple ',24,21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,1878,17,0,1,0,0,1,0,0,0
3,1,41-50,Android,he,'Samsung SM-J500F Galaxy J5','Samsung ',17,11-20,(direct),(none),Direct,(none),MOBILE_WEB,602,22.333333,0,1,0,1,0,0,0,0
3,17,21-30,Android,he,'LG H815 G4','LG ',1,1,google,organic,'Organic Search',(none),MOBILE_WEB,922,34,0,1,0,1,1,0,0,0
6,22,01-10,Android,he,'Samsung SM-N910F Galaxy Note 4','Samsung ',10,6-10,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,264,6.333333,0,1,0,1,0,0,0,0
2,14,41-50,Android,he,'Samsung SM-G7102 Galaxy Grand 2','Samsung ',54,51+,(direct),(none),Direct,(none),MOBILE_WEB,3256,73.5,0,1,0,0,0,0,0,0
4,20,21-30,Android,he,'Samsung GT-I9500 Galaxy S IV','Samsung ',20,11-20,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,361.066667,6.4,0,1,0,1,1,0,0,0
2,13,01-10,iOS,en,'Apple iPhone','Apple ',28,21-50,(direct),(none),Direct,(none),MOBILE_APP_IOS,591,33,0,1,0,0,1,0,0,0
6,23,51-60,iOS,he,'Apple iPhone','Apple ',5,4-5,google,organic,'Organic Search',(none),MOBILE_WEB,82,3,0,1,0,0,0,0,0,0
7,11,31-40,Android,he,'Xiaomi Redmi Note 3','Xiaomi ',47,21-50,google,organic,'Organic Search',(none),MOBILE_WEB,781.5,18.5,0,1,0,0,0,0,0,0
3,6,51-60,Android,he,'Meizu M3s','Meizu ',9,6-10,(direct),(none),Direct,(none),MOBILE_WEB,297,4.25,0,1,0,1,0,0,0,0
3,9,31-40,Android,he,'Meizu MZ-m3 note m3 note','Meizu ',3,3,google,organic,'Organic Search',(none),MOBILE_WEB,1974,34,0,1,0,0,0,0,0,0
1,15,01-10,Android,en,'Samsung SM-G900F Galaxy S5','Samsung ',63,51+,google,organic,'Organic Search',(none),MOBILE_WEB,298.666667,18,0,1,0,0,0,0,0,0
6,21,11-20,Android,he,'LG H735 G4 Beat','LG ',13,11-20,google,organic,'Organic Search',(none),MOBILE_WEB,2555,26,0,1,0,0,0,1,0,0
3,15,51-60,Android,he,'Samsung SM-N920C Galaxy Note 5','Samsung ',44,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1122,30,0,1,0,0,1,0,0,0
2,16,41-50,Android,he,'Samsung SM-G925F Galaxy S6 Edge','Samsung ',1,1,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,115,3,0,1,0,0,0,0,0,0
7,13,01-10,Android,ru,'Samsung SM-N9006 Galaxy Note 3','Samsung ',47,21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1909.5,26.75,0,1,0,1,0,0,0,0
7,20,01-10,Android,he,'Samsung SM-G920F Galaxy S6','Samsung ',2,2,google,organic,'Organic Search',(none),MOBILE_WEB,280,21.5,0,1,0,0,1,0,0,0
4,20,11-20,iOS,he,'Apple iPhone','Apple ',350,51+,(direct),(none),Direct,(none),MOBILE_APP_IOS,126.3,5.9,0,1,0,1,1,0,0,0
2,12,31-40,Android,he,'Samsung SM-G920F Galaxy S6','Samsung ',26,21-50,(direct),(none),Direct,(none),MOBILE_WEB,559,16.5,0,1,0,0,0,0,0,0
