@relation R_data_frame

@attribute WeekDay numeric
@attribute Hour numeric
@attribute MinuteRange string
@attribute operatingSystem string
@attribute language string
@attribute MobileDeviceManuf string
@attribute VisitNumberGroup string
@attribute Source string
@attribute Medium string
@attribute channelGrouping string
@attribute campaign string
@attribute platform string
@attribute AccumAvgTimeonSite numeric
@attribute AccumAvgpageviews numeric
@attribute isFeedCar numeric
@attribute isFeedNadlan numeric
@attribute isFeedSecondHand numeric
@attribute isNadlanRoomsFilter numeric
@attribute isNadlanPriceFilter numeric
@attribute isNadlanShowPhone numeric
@attribute isNadlanCallSeller numeric
@attribute Success numeric

@data
7,10,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,812.466667,26.066667,1,0,0,0,0,0,0,0
7,14,01-10,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,797.375,26,1,0,0,0,0,0,0,0
7,16,41-50,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,778.882353,25.294118,1,0,0,0,0,0,0,0
1,9,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,771.666667,25.111111,1,0,0,0,0,0,0,0
1,11,11-20,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,757.789474,24.473684,1,0,0,0,0,0,0,0
1,16,51-60,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,896.7,26.95,1,0,0,0,0,0,0,0
1,19,11-20,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,938.095238,26.47619,1,0,0,0,0,0,0,0
1,21,21-30,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,905.090909,25.772727,1,0,0,0,0,0,0,0
2,15,41-50,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,916.826087,26.26087,1,0,0,0,0,0,0,0
2,16,41-50,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,887.791667,25.375,1,0,0,0,0,0,0,0
2,17,41-50,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,910.6,27,1,0,0,0,0,0,0,0
3,11,21-30,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,887.538462,26.230769,1,0,0,0,0,0,0,0
3,11,51-60,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,886.62963,25.962963,1,0,0,0,0,0,0,0
3,12,41-50,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,879.25,25.857143,1,0,0,0,0,0,0,0
3,13,51-60,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,882.068966,25.758621,1,0,0,0,0,0,0,0
3,16,01-10,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,879.7,25.666667,1,0,0,0,0,0,0,0
3,17,11-20,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,921.193548,25.806452,1,0,0,0,0,0,0,0
3,21,31-40,Android,he,'Huawei ',51+,google,organic,'Organic Search',(none),MOBILE_WEB,924.59375,26.3125,1,0,0,0,0,0,0,0
7,10,01-10,Android,he,'Samsung ',6-10,(direct),(none),Direct,(none),MOBILE_WEB,239,16,0,0,1,0,0,0,0,0
6,13,51-60,Android,he,'Xiaomi ',6-10,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,0,1,0,0,0,0,0,0,0,0
4,7,51-60,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,81,3,0,0,0,0,0,0,0,0
4,10,51-60,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1089,43.5,1,0,0,0,0,0,0,0
5,19,41-50,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,1069,39,1,0,0,0,0,0,0,0
6,17,01-10,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,892,31,1,0,0,0,0,0,0,0
7,15,41-50,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,724,25.4,1,0,0,0,0,0,0,0
7,17,51-60,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,853.166667,22.166667,0,0,0,0,0,0,0,0
1,4,01-10,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,786.285714,22,1,0,0,0,0,0,0,0
1,10,01-10,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,892,21.125,1,0,0,0,0,0,0,0
5,21,51-60,iOS,he,'Apple ',1,google,organic,'Organic Search',(none),MOBILE_WEB,105,4,0,0,0,0,0,0,0,0
1,19,01-10,Android,he,'Meizu ',1,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
3,16,21-30,Android,he,'Meizu ',2,(direct),(none),Direct,(none),MOBILE_WEB,0,1,0,0,0,0,0,0,0,0
4,8,11-20,Android,he,'Samsung ',51+,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,15,1,0,0,0,0,0,0,0,0
2,18,21-30,Android,en,'LG ',21-50,(direct),(none),Direct,(none),MOBILE_APP_ANDROID,253,9,0,0,0,0,0,0,0,0
6,13,31-40,Android,he,'Samsung ',4-5,(direct),(none),Direct,(none),MOBILE_WEB,109,2,0,0,0,0,0,0,0,0
7,16,21-30,Android,he,'Samsung ',21-50,(direct),(none),Direct,(none),MOBILE_WEB,194,8,0,1,0,0,0,0,0,0
7,18,41-50,iOS,he,'Apple ',51+,(direct),(none),Direct,(none),MOBILE_WEB,62,2,0,1,0,0,1,0,0,0
